Verhardingsobject Guid,Datum,Inspecterende organisatie,Dwarsonvlakheid,Langsonvlakheid,Oneffenheden,Rafeling,Randschade,Scheurvorming,Voegvulling,Voegwijdte,Zetting,Opmerking
{010722D1-2DD8-4E6F-9BEC-CD5586AA0ED4},20-9-2016,,L2,,M1,G,E1,E1,G,G,G,
{010722D1-2DD8-4E6F-9BEC-CD5586AA0ED4},29-5-2018,,G,,G,G,E1,E1,,,G,gedeelte elementen
{010722D1-2DD8-4E6F-9BEC-CD5586AA0ED4},21-2-2019,,G,,G,G,G,G,,,G,
{01081008-E4C0-4F01-B2C6-6BC774B9A0C8},20-9-2016,,G,,G,G,G,G,G,G,G,
{01081008-E4C0-4F01-B2C6-6BC774B9A0C8},1-6-2018,,G,,G,G,G,G,,,G,
{01081008-E4C0-4F01-B2C6-6BC774B9A0C8},7-2-2019,,G,,G,G,G,G,,,G,
{010E5C89-8590-42B7-8737-C94347EB6F26},30-4-2014,,G,,G,G,G,G,G,G,G,
{010E5C89-8590-42B7-8737-C94347EB6F26},26-6-2018,,G,,G,G,G,G,,,G,
{01154812-01D0-43B5-A674-70B3A733096E},20-9-2016,,G,,G,G,G,G,G,G,G,
{01154812-01D0-43B5-A674-70B3A733096E},5-6-2018,,G,,G,G,L1,G,,,G,
{0119F45E-F640-43B7-BF0B-D94A9207A3A9},1-5-2015,,G,,G,G,M1,G,G,G,G,
{0119F45E-F640-43B7-BF0B-D94A9207A3A9},2-8-2017,,G,,G,G,L1,G,,,G,
{0119F45E-F640-43B7-BF0B-D94A9207A3A9},16-4-2019,,G,,G,G,E1,E1,,,G,
{012A0620-F474-4D6B-8805-9D6BE9D4F593},20-9-2016,,G,,G,G,G,G,G,G,G,
{012A0620-F474-4D6B-8805-9D6BE9D4F593},12-6-2018,,G,,G,G,G,G,,,G,
{012A65D8-D67C-41F0-891F-5742AAEDE435},15-4-2014,,G,,G,M1,G,M1,G,G,G,
{012A65D8-D67C-41F0-891F-5742AAEDE435},18-6-2018,,G,,G,G,G,G,,,G,
{01329A14-F6E9-460B-9E4A-CC7433EE3F46},20-3-2015,,L1,,G,E1,M1,M1,G,G,G,
{01329A14-F6E9-460B-9E4A-CC7433EE3F46},27-7-2017,,G,,G,L1,G,L1,,,G,
{01329A14-F6E9-460B-9E4A-CC7433EE3F46},19-4-2019,,G,,G,G,G,G,,,G,
{01459770-D4BF-40EE-8CE1-A91C2227C42E},20-9-2016,,G,,G,G,G,G,G,G,G,
{01459770-D4BF-40EE-8CE1-A91C2227C42E},12-6-2018,,G,,G,G,G,G,,,G,
{0151C1C8-E81C-41C3-A41B-6B25DD68C1F3},16-3-2016,,G,,G,G,G,G,G,G,G,
{0151C1C8-E81C-41C3-A41B-6B25DD68C1F3},6-6-2018,,G,,G,G,G,G,,,G,
{01528299-DCE9-416E-8E53-310F5738F95A},28-6-2018,,G,,G,G,G,G,,,G,
